site_code,transect_Lat_start,transect_Lon_start,transect_Lat_stop,transect_Lon_stop,transect,plot,number_seedlings,plant_id,x_coord,y_coord,suspected_clone,survival,no_rosettes,rosette_number,no_leaves,leaf_length,leaf_width,no_fl_stems,fl_stem_height,inflor_length,inflor_phenology,disease (yes/no),disease_comments,herbivory (yes/no),herbivory_comments,other_comments,c_year,s_year,,,,,
BG,61.44802,7.480596,61.448075,7.480565,T1,P1,1,1,45.5,4.5,no,NA,1,1,5,277,11,1,grazed,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.44802,7.480596,61.448075,7.480565,T1,P1,1,2,48.5,7,no,NA,1,1,3,221,6,2,342,7,mature seeds,no,,,no,,2015,Y0,,,,,
BG,61.44802,7.480596,61.448075,7.480565,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321,11,seeds dispersed,no,,,no,,2015,Y0,,,,,
BG,61.44802,7.480596,61.448075,7.480565,T1,P1,1,3,1,37.5,no,NA,1,1,5,136,6,1,330,9,seeds dispersed,no,,,no,,2015,Y0,,,,,
BG,61.44802,7.480596,61.448075,7.480565,T1,P1,1,4,6.5,38.5,no,NA,1,1,5,184,10,1,346,13,seeds developing,no,,,no,,2015,Y0,,,,,
BG,61.44802,7.480596,61.448075,7.480565,T1,P1,1,5,1.5,35,no,NA,1,1,4,194,6,2,305,12,mature seeds,no,,,no,,2015,Y0,,,,,
BG,61.44802,7.480596,61.448075,7.480565,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,11,seeds dispersed,no,,,no,,2015,Y0,,,,,
BG,61.44802,7.480596,61.448075,7.480565,T1,P2,0,6,1,4,no,NA,1,1,6,176,5,2,200,6,seeds dispersed,no,,,"round feeding hole, insect",,2015,Y0,,,,,
BG,61.44802,7.480596,61.448075,7.480565,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,6,seeds dispersed,no,,,NA,,2015,Y0,,,,,
BG,61.44802,7.480596,61.448075,7.480565,T1,P2,0,7,14.5,7,no,NA,1,1,4,125,10,2,333,18,seeds developing,no,,,"round feeding hole, insect",,2015,Y0,,,,,
BG,61.44802,7.480596,61.448075,7.480565,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345,13,seeds developing,no,,,NA,,2015,Y0,,,,,
BG,61.44802,7.480596,61.448075,7.480565,T1,P2,0,8,5,14.5,no,NA,1,1,4,162,6,1,199,5,seeds dispersed,no,,,no,,2015,Y0,,,,,
BG,61.44802,7.480596,61.448075,7.480565,T1,P2,0,9,7,17.5,no,NA,1,1,4,138,6,0,0,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.44802,7.480596,61.448075,7.480565,T1,P2,0,10,26,13.5,no,NA,1,1,4,141,6,0,0,NA,NA,no,,,"herbivory, insect",,2015,Y0,,,,,
BG,61.44802,7.480596,61.448075,7.480565,T1,P2,0,11,29,13,no,NA,1,1,6,176,10,0,0,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.44802,7.480596,61.448075,7.480565,T1,P2,0,12,34,20,no,NA,1,1,6,196,8,0,0,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.44802,7.480596,61.448075,7.480565,T1,P2,0,13,27,21.5,no,NA,1,1,6,135,5,0,0,NA,NA,no,,,"herbivory, insect",,2015,Y0,,,,,
BG,61.44802,7.480596,61.448075,7.480565,T1,P2,0,14,19.5,31,no,NA,1,1,3,131,4,0,0,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.44802,7.480596,61.448075,7.480565,T1,P2,0,15,24.5,40.5,no,NA,1,1,3,135,5,0,0,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.44802,7.480596,61.448075,7.480565,T1,P2,0,16,27,38,no,NA,1,1,3,150,8,0,0,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.44802,7.480596,61.448075,7.480565,T1,P3,0,17,19,10,no,NA,1,1,4,185,9,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.44802,7.480596,61.448075,7.480565,T1,P3,0,18,40,21.5,no,NA,1,1,2,125,5,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.44802,7.480596,61.448075,7.480565,T1,P3,0,19,44.5,31,no,NA,1,1,7,262,13,3,330,10,seeds dispersed,no,,,"herbivory, insect",,2015,Y0,,,,,
BG,61.44802,7.480596,61.448075,7.480565,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,252,12,seeds dispersed,NA,,,NA,,2015,Y0,,,,,
BG,61.44802,7.480596,61.448075,7.480565,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210,11,seeds dispersed,NA,,,NA,,2015,Y0,,,,,
BG,61.44802,7.480596,61.448075,7.480565,T1,P3,0,20,44.5,41.5,no,NA,1,1,7,302,12,1,265,8,seeds dispersed,no,,,"herbivory, insect",,2015,Y0,,,,,
BG,61.44802,7.480596,61.448075,7.480565,T1,P3,0,21,32,44.5,no,NA,1,1,3,95,3,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.44802,7.480596,61.448075,7.480565,T1,P3,0,22,3,39.5,no,NA,1,1,7,26,9,1,405,19,mature seeds,no,,,no,,2015,Y0,,,,,
BG,61.44802,7.480596,61.448075,7.480565,T1,P4,0,23,6,4,no,NA,1,1,6,228,12,2,212,11,seeds dispersed,no,,,no,,2015,Y0,,,,,
BG,61.44802,7.480596,61.448075,7.480565,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202,11,mature seeds,NA,,,NA,,2015,Y0,,,,,
BG,61.44802,7.480596,61.448075,7.480565,T1,P4,0,24,8,2,no,NA,1,1,5,170,7,1,275,12,mature seeds,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P5,0,25,31,0.5,no,NA,1,1,6,188,13,2,230,8,seeds dispersed,no,,,"herbivory, insect",,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220,8,seeds dispersed,NA,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P5,0,26,41.5,20.5,no,NA,1,1,4,179,9,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P5,0,27,33,24,yes,NA,2,1,2,152,5,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P5,0,27,34,23,yes,NA,2,2,3,160,7,0,NA,NA,NA,no,,,NA,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P5,0,28,42.5,48,no,NA,1,1,2,104,4,0,NA,NA,NA,no,,,"herbivory, insect",,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P5,0,29,28,43,no,NA,1,1,3,153,5,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P5,0,30,9,48,no,NA,1,1,2,169,4,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,31,11.5,2,no,NA,1,1,3,160,4,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,32,2,36.5,no,NA,1,1,4,175,7,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,33,9,45,no,NA,1,1,3,149,6,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,34,15.5,41,no,NA,1,1,5,190,8,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,35,13.5,43.5,no,NA,1,1,3,132,4,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,36,17.5,45.5,no,NA,1,1,6,172,8,0,NA,NA,NA,no,,,"herbivory, insect",,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,37,21.5,0.5,no,NA,1,1,4,120,5,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,38,16.5,34.5,yes,NA,2,1,4,170,7,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,38,17.5,33.5,yes,NA,2,2,5,186,10,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,39,19.5,31.5,no,NA,1,1,5,168,7,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,40,23.5,30.5,no,NA,1,1,3,125,3,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,41,38.5,5,no,NA,1,1,3,113,3,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,42,42.5,6,no,NA,1,1,3,152,7,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,43,46,1,no,NA,1,1,5,125,3,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,44,46,12,no,NA,1,1,3,136,5,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,45,30,6,no,NA,1,1,3,111,2,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,46,31,0.5,no,NA,1,1,3,161,6,0,NA,NA,NA,no,,,"herbivory, insect",,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,47,36.5,6,no,NA,1,1,4,181,7,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,48,29.5,33.5,no,NA,1,1,5,242,16,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,49,30,33,no,NA,1,1,3,152,4,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,50,40.5,39.5,no,NA,1,1,3,180,5,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,51,42.5,41.5,no,NA,1,1,4,178,7,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,52,39.5,46,no,NA,1,1,3,146,5,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,53,49,47,no,NA,1,1,3,172,6,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,54,27,44,no,NA,1,1,3,89,4,0,NA,NA,NA,no,,,"herbivory, insect",,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,55,26,49.5,no,NA,1,1,5,149,7,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,56,6.5,8,no,NA,1,1,5,129,9,0,NA,NA,NA,no,,,"herbivory, insect",,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,57,10.5,10.5,no,NA,1,1,3,94,2,0,NA,NA,NA,no,,,"herbivory, insect",,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,58,17.5,8,yes,NA,2,1,4,181,7,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,58,17.5,7.5,yes,NA,2,2,4,185,12,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,59,22.5,6.5,no,NA,1,1,5,142,7,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,60,21,1,no,NA,1,1,4,113,5,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,61,2,24,no,NA,1,1,3,185,6,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,62,11.5,21,no,NA,1,1,3,153,4,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,63,2,18,yes,NA,2,1,3,185,4,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,63,2.5,18,yes,NA,2,2,4,182,10,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,64,23,16.5,no,NA,1,1,5,132,8,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,65,11,32.5,no,NA,1,1,2,166,4,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,66,3,46,no,NA,1,1,5,199,7,1,326,9,mature seeds,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,67,9.5,45,no,NA,1,1,4,198,7,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,68,11.5,41,no,NA,1,1,3,125,2,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,69,12.5,37.5,yes,NA,2,1,2,182,4,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,69,13,38,yes,NA,2,2,2,119,3,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,70,14.5,42,no,NA,1,1,4,220,8,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,71,19.5,41.5,no,NA,1,1,2,115,4,0,NA,NA,NA,no,,,"herbivory, insect",,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,72,20.5,46.5,no,NA,1,1,3,146,5,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
