site_code,transect_Lat_start,transect_Lon_start,transect_Lat_stop,transect_Lon_stop,transect,plot,number_seedlings,plant_id,x_coord,y_coord,suspected_clone,survival,no_rosettes,rosette_number,no_leaves,leaf_length,leaf_width,no_fl_stems,fl_stem_height,inflor_length,inflor_phenology,disease..yes.no.,disease_comments,herbivory..yes.no.,herbivory_comments,other_comments,c_year,s_year
SW242,NA,NA,NA,NA,T5,4,NA,1,50,30,no,yes,2,2,5,108,6,0,0,0,0,no,NA,yes,feeding holes,NA,2018,Y1
SW242,NA,NA,NA,NA,T5,4,NA,1,50,30,no,yes,2,1,27,146,17,4,226,11,Flowering,no,NA,yes,feeding holes,NA,2018,Y1
SW242,NA,NA,NA,NA,T5,5,NA,2,33,30,no,yes,2,1,2,64,7,0,0,0,0,yes,brown,yes,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T5,5,NA,2,33,30,no,na,2,2,2,10,3,0,0,0,0,no,NA,yes,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T4,9,NA,3,45,47,no,yes,1,2,8,104,16,0,0,0,0,yes,brown,yes,feeding holes,tag at equidistance from the both plants,2018,Y1
SW242,NA,NA,NA,NA,T7,4,NA,4,19,28,no,yes,1,1,5,45,6,0,0,0,0,no,NA,yes,feeding holes_ mowed,longest leaf eaten,2018,Y1
SW242,NA,NA,NA,NA,T2,11,NA,5,14,15,yes,yes,1,1,12,111,16,0,0,0,0,yes,NA,yes,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T4,9,NA,6,27,3,no,yes,1,1,6,160,13,0,0,0,0,no,NA,yes,feeding holes,NA,2018,Y1
SW242,NA,NA,NA,NA,T2,12,NA,7,45,16,no,no,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T2,20,NA,8,43,38,no,yes,2,2,7,54,6,0,0,0,0,no,NA,yes,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T2,20,NA,8,43,38,no,yes,2,1,4,57,7,0,0,0,0,yes,NA,yes,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T1,5,NA,9,9,13,no,yes,2,2,3,96,5,NA,0,0,0,NA,NA,NA,NA,plot 4 was missed last year_ it does not exist!,2018,Y1
SW242,NA,NA,NA,NA,T1,5,NA,9,9,13,no,yes,2,1,5,118,11,NA,0,0,0,NA,NA,NA,NA,no tags,2018,Y1
SW242,NA,NA,NA,NA,T5,12,NA,10,6,18,no,no,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T3,5,NA,11,35,17,yes,yes,2,2,6,95,9,0,0,0,0,yes,brown_ dry,yes,feeding holes,NA,2018,Y1
SW242,NA,NA,NA,NA,T3,5,NA,11,35,17,yes,yes,2,1,9,95,13,0,0,0,0,yes,brown_ dry,yes,feeding holes,NA,2018,Y1
SW242,NA,NA,NA,NA,T7,1,NA,12,28,11,no,yes,1,1,15,155,19,2,180,10,Flowering,no,NA,yes,feeding holes,tag nearly outside the transect,2018,Y1
SW242,NA,NA,NA,NA,T2,11,NA,13,17,15,yes,yes,2,1,5,82,8,0,0,0,0,yes,NA,yes,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T2,11,NA,13,17,15,yes,na,2,2,13,95,7,0,0,0,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T2,3,NA,14,46,31,no,no,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T2,1,NA,15,12,27,no,no,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T2,1,NA,16,24,45,no,yes,1,1,6,68,12,0,0,0,0,NA,NA,NA,NA,?©quidistance entre A et B,2018,Y1
SW242,NA,NA,NA,NA,T5,3,NA,17,33,4,no,yes,1,1,35,164,18,0,0,0,0,no,NA,yes,feeding holes,NA,2018,Y1
SW242,NA,NA,NA,NA,T1,18,NA,18,9,41,no,no,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T1,18,NA,19,3,47,yes,yes,1,1,12,104,9,0,0,0,0,yes,NA,yes,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T5,16,NA,20,12,15,no,no,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T2,20,NA,21,41,23,no,yes,1,1,5,129,15,0,0,0,0,no,NA,yes,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T2,10,NA,22,19,30,no,yes,2,2,9,133,12,NA,0,0,0,no,NA,no,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T2,10,NA,22,19,30,no,yes,2,1,13,146,16,0,0,0,0,no,NA,yes,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T1,18,NA,23,48,7,no,yes,1,1,5,120,9,0,0,0,0,no,NA,yes,NA,longest leaf eaten,2018,Y1
SW242,NA,NA,NA,NA,T2,4,NA,24,17,10,no,yes,1,1,10,132,16,0,0,0,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T1,17,NA,25,48,47,yes,yes,1,1,4,94,9,0,0,0,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T1,1,NA,26,47,34,no,no,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T2,17,NA,27,7,44,no,yes,1,1,10,89,12,0,0,0,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T4,8,NA,28,7,3,no,no,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T1,18,NA,29,13,9,no,no,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T5,20,NA,30,49,33,no,yes,1,1,8,109,11,0,0,0,0,no,NA,yes,5 leaves cut,NA,2018,Y1
SW242,NA,NA,NA,NA,T5,6,NA,31,7,24,no,yes,2,1,16,153,20,3,NA,8,bud,yes,brown,yes,NA,length over 200,2018,Y1
SW242,NA,NA,NA,NA,T5,6,NA,31,7,24,no,yes,2,2,14,119,19,0,0,0,0,no,NA,yes,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T3,3,NA,32,14,46,no,yes,1,1,6,121,10,0,0,0,0,no,NA,yes,feeding holes,NA,2018,Y1
SW242,NA,NA,NA,NA,T5,12,NA,33,17,19,no,yes,1,1,10,163,22,4,224,14,Flowering,no,NA,yes,feeding holes,NA,2018,Y1
SW242,NA,NA,NA,NA,T3,13,NA,34,36,8,no,no,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T2,4,NA,35,12,3,no,yes,1,1,4,48,7,0,0,0,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T5,10,NA,36,5,15,no,yes,1,1,15,155,15,4,110,5,No seeds,no,NA,yes,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T2,18,NA,37,45,16,no,no,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T3,2,NA,38,10,12,no,no,NA,1,8,46,19,NA,0,0,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T2,1,NA,39,37,37,no,no,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T5,18,NA,40,20,8,no,yes,1,1,11,126,19,0,0,0,0,yes,bronw,yes,feeding holes,NA,2018,Y1
SW242,NA,NA,NA,NA,T2,1,NA,41,26,33,no,yes,2,2,5,68,8,0,0,0,0,yes,1 dried leaf,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T2,1,NA,41,26,33,no,yes,2,1,5,72,8,0,0,0,0,NA,NA,yes,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T2,1,NA,42,25,20,no,yes,1,1,4,85,11,0,0,0,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T2,11,NA,43,25,24,no,yes,1,1,6,45,11,0,0,0,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T1,17,NA,44,31,16,no,yes,1,1,8,100,6,0,0,0,0,yes,NA,yes,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T1,13,NA,45,18,18,no,yes,1,1,8,76,5,0,0,0,0,NA,NA,NA,NA,Tag found,2018,Y1
SW242,NA,NA,NA,NA,T6,3,NA,46,9,33,no,no,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T7,7,NA,47,35,38,no,no,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T3,20,NA,48,23,25,no,yes,2,1,2,100,13,0,0,0,0,no,NA,yes,feeding holes,NA,2018,Y1
SW242,NA,NA,NA,NA,T3,20,NA,48,23,25,no,yes,2,2,6,60,10,0,0,0,0,no,NA,yes,feeding holes,NA,2018,Y1
SW242,NA,NA,NA,NA,T2,18,NA,49,18,17,no,no,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T7,6,NA,50,25,15,no,yes,1,1,20,130,15,0,0,0,0,yes,brown,yes,feeding holes,NA,2018,Y1
SW242,NA,NA,NA,NA,T3,12,NA,51,23,11,no,yes,2,1,2,33,4,0,0,0,0,no,NA,no,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T3,12,NA,51,23,11,no,yes,2,2,2,30,6,0,0,0,0,no,NA,no,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T2,15,NA,52,29,35,no,yes,1,1,5,197,20,0,0,0,0,no,NA,yes,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T1,12,NA,53,48,46,no,no,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Tag found,2018,Y1
SW242,NA,NA,NA,NA,T3,2,NA,54,47,2,no,yes,1,1,7,120,12,0,0,0,0,no,NA,yes,feeding holes,NA,2018,Y1
SW242,NA,NA,NA,NA,T3,1,NA,55,44,20,no,yes,1,1,6,105,9,0,0,0,0,no,NA,yes,feeding holes,NA,2018,Y1
SW242,NA,NA,NA,NA,T2,19,NA,56,49,38,no,yes,1,1,3,64,11,0,0,0,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T4,9,NA,57,19,20,no,yes,1,1,3,NA,9,0,0,0,0,no,NA,yes,mowed,longest leaf eaten,2018,Y1
SW242,NA,NA,NA,NA,T3,10,NA,58,35,37,no,yes,1,1,9,147,14,4,220,15,Flowering,yes,brown,no,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T3,3,NA,59,49,5,no,yes,1,1,10,223,20,0,0,0,0,no,NA,yes,feeding holes,NA,2018,Y1
SW242,NA,NA,NA,NA,T2,1,NA,60,16,15,no,yes,2,1,4,81,8,0,0,0,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T2,1,NA,60,16,15,no,yes,2,2,6,85,10,0,0,0,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T5,1,NA,61,13,5,no,no,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T4,4,NA,62,13,50,no,yes,3,3,12,125,12,0,0,0,0,yes,brown,no,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T4,4,NA,62,13,50,no,yes,3,2,9,112,12,0,0,0,0,yes,brown,yes,feeding holes,NA,2018,Y1
SW242,NA,NA,NA,NA,T4,4,NA,62,13,50,no,yes,3,1,7,120,14,0,0,0,0,no,NA,yes,feeding holes,NA,2018,Y1
SW242,NA,NA,NA,NA,T2,14,NA,63,22,3,no,no,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T3,2,NA,64,18,27,no,yes,1,1,4,14,12,0,0,0,0,no,NA,yes,feeding holes,NA,2018,Y1
SW242,NA,NA,NA,NA,T3,12,NA,65,23,7,no,yes,1,1,5,104,13,0,0,0,0,no,NA,yes,feeding holes,NA,2018,Y1
SW242,NA,NA,NA,NA,T6,3,NA,66,16,17,no,yes,1,1,16,185,21,5,366,18,Flowering,no,NA,yes,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T2,17,NA,67,26,34,no,yes,4,4,2,70,8,0,0,0,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T2,17,NA,67,26,34,no,yes,4,3,2,32,3,0,0,0,0,NA,NA,NA,NA,longest leaf eaten,2018,Y1
SW242,NA,NA,NA,NA,T2,17,NA,67,26,34,no,yes,4,2,4,54,4,0,0,0,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T2,17,NA,67,26,34,no,yes,4,1,4,88,8,0,0,0,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T5,20,NA,68,8,4,no,yes,2,2,3,58,7,0,0,0,0,no,NA,yes,indicative length_ very eaten,NA,2018,Y1
SW242,NA,NA,NA,NA,T5,20,NA,68,8,46,no,yes,2,1,5,93,6,0,0,0,0,no,NA,yes,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T5,3,NA,69,42,23,no,no,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,trampled,2018,Y1
SW242,NA,NA,NA,NA,T5,3,NA,69,42,23,no,no,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,trampled,2018,Y1
SW242,NA,NA,NA,NA,T3,1,NA,70,39,19,no,yes,1,1,4,105,4,0,0,0,0,yes,brown,yes,feeding holes_ herbivore,NA,2018,Y1
SW242,NA,NA,NA,NA,T4,15,NA,71,40,15,no,yes,1,1,8,53,8,0,0,0,0,yes,NA,yes,NA,fossilised in shit,2018,Y1
SW242,NA,NA,NA,NA,T5,9,NA,72,45,39,no,yes,2,1,7,137,18,0,0,0,0,yes,NA,yes,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T5,9,NA,72,45,39,no,yes,2,2,7,141,21,0,0,0,0,yes,NA,yes,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T5,19,NA,73,19,7,no,yes,1,1,3,195,15,0,0,0,0,yes,NA,yes,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T2,1,NA,74,48,25,no,no,NA,1,7,98,11,NA,0,0,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T4,4,NA,75,28,36,no,no,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T1,1,NA,76,21,15,no,yes,1,1,5,61,8,0,0,0,0,no,NA,yes,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T3,1,NA,77,36,41,no,yes,2,1,6,142,19,0,0,0,0,no,NA,yes,feeding holes,NA,2018,Y1
SW242,NA,NA,NA,NA,T3,1,NA,77,36,41,no,yes,2,2,2,85,7,0,0,0,0,no,NA,yes,feeding holes,NA,2018,Y1
SW242,NA,NA,NA,NA,T3,5,NA,78,38,13,yes,yes,1,1,9,85,11,0,0,0,0,yes,brown_ dry,yes,feeding holes,NA,2018,Y1
SW242,NA,NA,NA,NA,T5,9,NA,79,40,7,no,yes,1,1,1,106,12,0,0,0,0,yes,NA,yes,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T3,3,NA,80,6,13,no,yes,1,1,8,145,19,0,0,0,0,no,NA,yes,feeding holes,NA,2018,Y1
SW242,NA,NA,NA,NA,T1,17,NA,81,46,43,yes,yes,1,1,5,108,12,0,0,0,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T7,3,NA,82,47,43,no,yes,1,1,6,45,9,0,0,0,0,no,NA,yes,feeding holes_ mowed,NA,2018,Y1
SW242,NA,NA,NA,NA,T2,1,NA,83,12,6,yes,yes,1,1,2,104,14,0,0,0,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T1,11,NA,84,38,11,no,yes,1,1,3,75,15,0,0,0,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T5,9,NA,85,40,8,no,yes,1,1,11,136,13,0,0,0,0,yes,NA,yes,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T3,13,NA,87,36,14,no,no,NA,5,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T3,13,NA,87,36,14,no,no,NA,6,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T3,13,NA,87,36,14,no,no,NA,3,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T3,13,NA,87,36,14,no,no,NA,2,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T3,13,NA,87,36,14,no,no,NA,4,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T3,13,NA,87,36,14,no,no,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T6,1,NA,88,10,5,no,yes,5,1,12,151,16,1,NA,NA,Bud,no,NA,yes,feeding holes,"stem height 40, inflorescence length 7, but wouldn'thave been measured last year",2018,Y1
SW242,NA,NA,NA,NA,T6,1,NA,88,10,5,no,yes,5,2,2,59,6,0,0,0,0,yes,brown,no,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T6,1,NA,88,10,5,no,yes,5,3,3,96,9,0,0,0,0,no,NA,yes,feeding holes,NA,2018,Y1
SW242,NA,NA,NA,NA,T6,1,NA,88,10,5,no,yes,5,4,5,131,9,0,0,0,0,no,NA,yes,feeding holes,NA,2018,Y1
SW242,NA,NA,NA,NA,T6,1,NA,88,10,5,no,yes,5,5,7,132,12,2,NA,NA,Bud,no,NA,yes,feeding holes,"stem height 31, inflorescence length 7, but wouldn'thave been measured last year",2018,Y1
SW242,NA,NA,NA,NA,T1,18,NA,89,33,17,no,no,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T2,1,NA,90,25,11,no,yes,1,1,7,86,9,0,0,0,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T5,20,NA,91,11,50,no,yes,1,1,4,99,10,0,0,0,0,no,NA,yes,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T2,1,NA,92,14,8,yes,yes,1,1,4,107,8,0,0,0,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T5,11,NA,93,50,0,no,yes,1,1,17,133,14,0,0,0,0,no,NA,yes,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T6,8,NA,94,16,35,no,yes,1,1,16,124,20,0,0,0,0,no,NA,yes,NA,longest leaf eaten,2018,Y1
SW242,NA,NA,NA,NA,T2,15,NA,95,35,32,no,yes,1,1,3,54,12,0,0,0,0,no,NA,no,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T7,4,NA,96,18,43,no,yes,3,1,11,90,5,0,0,0,0,no,NA,yes,feeding holes,NA,2018,Y1
SW242,NA,NA,NA,NA,T7,4,NA,96,18,43,no,yes,3,2,4,49,6,0,0,0,0,no,NA,yes,feeding holes,NA,2018,Y1
SW242,NA,NA,NA,NA,T7,4,NA,96,18,43,no,yes,3,3,3,68,7,0,0,0,0,no,NA,yes,feeding holes,NA,2018,Y1
SW242,NA,NA,NA,NA,T7,11,NA,96,29,39,no,yes,1,1,4,124,12,0,0,0,0,yes,brown,yes,feeding holes,NA,2018,Y1
SW242,NA,NA,NA,NA,T2,2,NA,97,27,36,no,yes,1,1,9,121,21,NA,227,13,Flowering,yes,brown,yes,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T6,4,NA,98,32,19,no,yes,1,1,6,108,10,0,0,0,0,no,NA,yes,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T7,10,NA,99,29,40,no,yes,1,1,18,180,13,0,0,0,0,yes,brown,yes,feeding holes,NA,2018,Y1
SW242,NA,NA,NA,NA,T3,12,NA,100,10,43,no,yes,1,1,2,28,2,0,0,0,0,yes,black dots,no,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T7,11,NA,101,29,45,no,yes,2,1,5,100,11,0,0,0,0,yes,brown,yes,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T7,11,NA,101,29,45,no,yes,2,2,3,70,9,0,0,0,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T7,11,NA,102,48,32,no,yes,1,1,4,72,6,0,0,0,0,yes,misshapen,NA,NA,tag not found,2018,Y1
SW242,NA,NA,NA,NA,T1,14,NA,201,6,26,no,na,2,2,3,78,7,0,0,0,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T1,14,NA,201,6,26,no,na,2,1,18,86,15,3,98,12,Bud,no,NA,no,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T1,2,NA,202,35,25,no,na,2,2,14,140,18,0,0,0,0,no,NA,yes,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T1,2,NA,202,35,25,no,na,2,1,9,113,11,0,0,0,0,no,NA,yes,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T1,8,NA,203,7,7,no,na,1,1,9,120,16,0,0,0,0,no,NA,no,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T1,10,NA,204,3,18,no,na,2,2,15,121,18,3,82,8,bud,no,NA,no,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T1,10,NA,204,3,18,no,na,2,1,11,132,19,2,48,6,bud,no,NA,no,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T1,11,NA,205,24,11,yes,na,1,1,6,150,13,0,0,0,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T1,11,NA,206,20,17,yes,na,1,1,3,116,8,0,0,0,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T1,11,NA,207,16,10,yes,na,1,1,8,124,16,0,0,0,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T3,9,NA,210,35,45,no,na,1,1,5,98,7,0,0,0,0,yes,brown_ dry,yes,feeding holes,NA,2018,Y1
SW242,NA,NA,NA,NA,T3,13,NA,211,27,17,no,na,1,1,5,73,12,0,0,0,0,no,NA,no,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T3,16,NA,212,30,40,no,na,1,1,5,72,10,0,0,0,0,yes,brown,yes,feeding holes,NA,2018,Y1
SW242,NA,NA,NA,NA,T3,18,NA,213,33,35,no,na,1,1,16,185,16,0,0,0,0,no,NA,yes,feeding holes,NA,2018,Y1
SW242,NA,NA,NA,NA,T3,20,NA,214,25,26,yes,na,1,1,12,65,12,0,0,0,0,no,NA,yes,feeding holes,NA,2018,Y1
SW242,NA,NA,NA,NA,T4,2,NA,240,25,25,no,na,1,1,9,150,13,1,123,12,Bud,NA,NA,yes,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T4,10,NA,241,29,23,no,yes,1,1,4,65,7,0,7,0,0,yes,brown,yes,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T4,20,NA,242,25,35,no,yes,2,2,11,65,11,0,0,0,0,no,NA,yes,mowed,longest leaf eaten,2018,Y1
SW242,NA,NA,NA,NA,T4,20,NA,242,25,35,no,yes,2,1,13,95,16,1,NA,NA,Bud,no,NA,yes,mowed,"stem height 18, infl length 6, but wouldn't have been measured last year",2018,Y1
SW242,NA,NA,NA,NA,T5,1,NA,250,48,21,no,na,1,1,4,135,11,0,0,0,0,yes,muguet,NA,no,NA,2018,Y1
SW242,NA,NA,NA,NA,T5,3,NA,251,4,38,no,na,1,1,4,135,10,0,0,0,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T5,5,NA,252,34,32,yes,na,1,1,2,59,6,0,0,0,0,yes,brown,yes,feeding holes,NA,2018,Y1
SW242,NA,NA,NA,NA,T5,5,NA,253,37,3,no,na,2,2,7,98,9,0,0,0,0,no,NA,yes,feeding holes,"It probably survived since last year, but just outside my plot‚Ä¶ It has litter from the leaves from last year.",2018,Y1
SW242,NA,NA,NA,NA,T5,5,NA,253,37,3,no,na,2,1,9,119,13,0,0,0,0,no,NA,yes,feeding holes,NA,2018,Y1
SW242,NA,NA,NA,NA,T5,5,NA,254,23,41,no,na,1,1,5,117,12,0,0,0,0,no,NA,yes,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T5,9,NA,255,40,41,yes,na,1,1,4,113,9,0,0,0,0,yes,brown,yes,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T6,5,NA,260,25,15,no,na,2,1,8,82,11,0,0,0,0,no,NA,yes,feeding holes,NA,2018,Y1
SW242,NA,NA,NA,NA,T6,5,NA,260,25,15,no,na,2,2,8,103,12,1,NA,NA,Bud,no,NA,yes,feeding holes,"stem height 18, inflorescence length 4, but wouldn'thave been measured last year",2018,Y1
SW242,NA,NA,NA,NA,T6,7,NA,261,23,43,no,na,1,1,12,86,12,0,0,0,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T6,8,NA,262,5,18,no,na,1,1,20,141,11,0,0,0,0,no,NA,yes,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T2,6,NA,275,25,9,no,na,1,1,15,119,23,0,0,0,0,yes,brown,no,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T2,6,NA,276,32,12,no,na,1,1,9,105,18,0,0,0,0,yes,brown,no,NA,NA,2018,Y1
